"sample1"	"sample2"	"PF3D7_14_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.968996710038191
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.990960107442685
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.944050814287821
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.748089392195148
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.809525807753912
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.830212053604124
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.841760220388049
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.968996710038191
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.962964652820577
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.954091023148053
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.737947285816526
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.800890442877346
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.794194111618348
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.826985083591059
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.990960107442685
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.962964652820577
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.941696957898172
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.716845604714415
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.787859577001014
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.805718753466726
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.821115428091776
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.944050814287821
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.954091023148053
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.941696957898172
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.73230599161014
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.805786288570404
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.789706928760554
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.85040995293467
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.748089392195148
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.737947285816526
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.716845604714415
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.73230599161014
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.943318761807665
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.943764489353958
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.914214256553305
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.809525807753912
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.800890442877346
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.787859577001014
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.805786288570404
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.943318761807665
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.954230436411465
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.963833001188266
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.830212053604124
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.794194111618348
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.805718753466726
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.789706928760554
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.943764489353958
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.954230436411465
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.962553315441708
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.841760220388049
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.826985083591059
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.821115428091776
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.85040995293467
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.914214256553305
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.963833001188266
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.962553315441708
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
