"sample1"	"sample2"	"PF3D7_07_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.981061261847862
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.994360712347578
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.858110829674194
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.756860368475655
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.802148961401038
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.873327150835622
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.864645459134168
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.981061261847862
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.978979632683939
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.864962634984401
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.748062527418873
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.799478313711945
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.843540461695284
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.852079932201313
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.994360712347578
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.978979632683939
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.852788869446631
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.728273116848308
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.778658918299562
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.848502979508142
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.843391741093126
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.858110829674194
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.864962634984401
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.852788869446631
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.657703864598288
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.7038718022557
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.749025851611133
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.757998726288712
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.756860368475655
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.748062527418873
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.728273116848308
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.657703864598288
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.9737790355303
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.94478559344642
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.937848741678849
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.802148961401038
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.799478313711945
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.778658918299562
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.7038718022557
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.9737790355303
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.952859536047153
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.971263212188661
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.873327150835622
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.843540461695284
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.848502979508142
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.749025851611133
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.94478559344642
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.952859536047153
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.977499133129851
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.864645459134168
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.852079932201313
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.843391741093126
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.757998726288712
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.937848741678849
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.971263212188661
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.977499133129851
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
