Gene stable ID	Gene stable ID version	Gene name	NCBI gene (formerly Entrezgene) ID
ENSG00000121410	ENSG00000121410.12	A1BG	1
ENSG00000196839	ENSG00000196839.14	ADA	100
ENSG00000275199	ENSG00000275199.4	AKT3	10000
ENSG00000117020	ENSG00000117020.19	AKT3	10000
ENSG00000274917	ENSG00000274917.1	RNA5-8SN5	100008587
ENSG00000256628	ENSG00000256628.4	ZBTB11-AS1	100009676
ENSG00000133997	ENSG00000133997.12	MED6	10001
ENSG00000285516	ENSG00000285516.2	NAALAD2	10003
ENSG00000077616	ENSG00000077616.11	NAALAD2	10003
ENSG00000099974	ENSG00000099974.8	DDTL	100037417
ENSG00000275758	ENSG00000275758.2	DDTL	100037417
ENSG00000275003	ENSG00000275003.3	DDT	100037417
ENSG00000099977	ENSG00000099977.16	DDT	100037417
ENSG00000168060	ENSG00000168060.16	NAALADL1	10004
ENSG00000240498	ENSG00000240498.9	CDKN2B-AS1	100048912
ENSG00000254415	ENSG00000254415.4	SIGLEC14	100049587
ENSG00000177406	ENSG00000177406.5	NINJ2-AS1	100049716
ENSG00000101473	ENSG00000101473.17	ACOT8	10005
ENSG00000136754	ENSG00000136754.18	ABI1	10006
ENSG00000113552	ENSG00000113552.16	GNPDA1	10007
ENSG00000175538	ENSG00000175538.11	KCNE3	10008
ENSG00000177485	ENSG00000177485.7	ZBTB33	10009
ENSG00000293241	ENSG00000293241.1	GTF2IP4	100093631
ENSG00000136560	ENSG00000136560.14	TANK	10010
ENSG00000272391	ENSG00000272391.6	POM121C	100101267
ENSG00000186814	ENSG00000186814.15	ZSCAN30	100101467
ENSG00000213523	ENSG00000213523.12	SRA1	10011
ENSG00000239127	ENSG00000239127.1	SNORD125	100113380
ENSG00000280213	ENSG00000280213.1	UCKL1-AS1	100113386
ENSG00000205269	ENSG00000205269.6	TMEM170B	100113407
ENSG00000291346	ENSG00000291346.1	SNORA84	100124534
ENSG00000239183	ENSG00000239183.1	SNORA84	100124534
ENSG00000207016	ENSG00000207016.1	SNORA36C	100124535
ENSG00000200394	ENSG00000200394.1	SNORA38B	100124536
ENSG00000206937	ENSG00000206937.1	SNORA70B	100124537
ENSG00000220201	ENSG00000220201.8	ZGLP1	100125288
ENSG00000284386	ENSG00000284386.1	MIR147B	100126311
ENSG00000266297	ENSG00000266297.1	MIR744	100126313
ENSG00000284146	ENSG00000284146.1	MIR922	100126321
ENSG00000216035	ENSG00000216035.1	MIR938	100126327
ENSG00000283206	ENSG00000283206.1	MIR941-1	100126329
ENSG00000211575	ENSG00000211575.3	MIR760	100126348
ENSG00000215973	ENSG00000215973.1	MIR933	100126350
ENSG00000235947	ENSG00000235947.1	EGOT	100126791
ENSG00000240288	ENSG00000240288.8	GHRLOS	100126793
ENSG00000232803	ENSG00000232803.1	SLCO4A1-AS1	100127888
ENSG00000250274	ENSG00000250274.2		100128059
ENSG00000225828	ENSG00000225828.2	FAM229A	100128071
ENSG00000290760	ENSG00000290760.1	UBE2Q2P13	100128108
ENSG00000239219	ENSG00000239219.2	FHL1P1	100128164
ENSG00000257167	ENSG00000257167.3	TMPO-AS1	100128191
ENSG00000166770	ENSG00000166770.12	ZNF667-AS1	100128252
ENSG00000173626	ENSG00000173626.10	TRAPPC3L	100128327
ENSG00000225684	ENSG00000225684.4	FAM225B	100128385
ENSG00000176593	ENSG00000176593.8	ZNF606-AS1	100128398
ENSG00000251143	ENSG00000251143.1		100128494
ENSG00000266983	ENSG00000266983.3	RANBP3-DT	100128568
ENSG00000183397	ENSG00000183397.6	TEKTIP1	100128569
ENSG00000227028	ENSG00000227028.6	SLC8A1-AS1	100128590
ENSG00000228474	ENSG00000228474.6	OST4	100128731
ENSG00000175611	ENSG00000175611.14	ERCC6L2-AS1	100128782
ENSG00000205913	ENSG00000205913.7	SRRM2-AS1	100128788
ENSG00000261373	ENSG00000261373.1	VPS9D1-AS1	100128881
ENSG00000260868	ENSG00000260868.1	LINC01960	100128905
ENSG00000179627	ENSG00000179627.10	ZBTB42	100128927
ENSG00000120709	ENSG00000120709.11	FAM53C	100128966
ENSG00000204380	ENSG00000204380.4	PKP4-AS1	100129029
ENSG00000235016	ENSG00000235016.1	SEMA3F-AS1	100129060
ENSG00000269293	ENSG00000269293.5	ZSCAN16-AS1	100129195
ENSG00000186056	ENSG00000186056.11	MATN1-AS1	100129196
ENSG00000245552	ENSG00000245552.9	LNCRNA-IUR	100129203
ENSG00000225805	ENSG00000225805.4	DEFB131B	100129216
ENSG00000235453	ENSG00000235453.12	SMIM27	100129250
ENSG00000281930	ENSG00000281930.1	SMIM10L1	100129361
ENSG00000262986	ENSG00000262986.1	SMIM10L1	100129361
ENSG00000256537	ENSG00000256537.5	SMIM10L1	100129361
ENSG00000288235	ENSG00000288235.1	FAM106C	100129396
ENSG00000272142	ENSG00000272142.4	LYRM4-AS1	100129461
ENSG00000225526	ENSG00000225526.6	MKRN2OS	100129480
ENSG00000293313	ENSG00000293313.1	ZNF37BP	100129482
ENSG00000234432	ENSG00000234432.4	LINC02983	100129484
ENSG00000285427	ENSG00000285427.1	SOD2-OT1	100129518
ENSG00000292993	ENSG00000292993.1		100129534
ENSG00000183850	ENSG00000183850.14	ZNF730	100129543
ENSG00000273033	ENSG00000273033.2	LINC02035	100129550
ENSG00000281357	ENSG00000281357.5	ARRDC3-AS1	100129716
ENSG00000275549	ENSG00000275549.1	STPG3-AS1	100129722
ENSG00000205500	ENSG00000205500.8	MAPRE3-AS1	100129724
ENSG00000279873	ENSG00000279873.2	LINC01126	100129726
ENSG00000177112	ENSG00000177112.9	IRAG1-AS1	100129827
ENSG00000237440	ENSG00000237440.9	ZNF737	100129842
ENSG00000224729	ENSG00000224729.6	PCOLCE-AS1	100129845
ENSG00000196951	ENSG00000196951.13	SCOC-AS1	100129858
ENSG00000264269	ENSG00000264269.1	DYM-AS1	100129878
ENSG00000249592	ENSG00000249592.7	PCGF3-AS1	100129917
ENSG00000245748	ENSG00000245748.1		100129931
ENSG00000197301	ENSG00000197301.7	HMGA2-AS1	100129940
ENSG00000094631	ENSG00000094631.22	HDAC6	10013
ENSG00000228237	ENSG00000228237.5	EFCAB14-AS1	100130197
ENSG00000144455	ENSG00000144455.14	SUMF1	100130207
ENSG00000245164	ENSG00000245164.10	LINC00861	100130231
ENSG00000279261	ENSG00000279261.2	LINC02961	100130249
ENSG00000205710	ENSG00000205710.4	C17orf107	100130311
ENSG00000215022	ENSG00000215022.8		100130357
ENSG00000237499	ENSG00000237499.7	WAKMAR2	100130476
ENSG00000291925	ENSG00000291925.2	CD300H	100130520
ENSG00000284690	ENSG00000284690.3	CD300H	100130520
ENSG00000267270	ENSG00000267270.8	PARD6G-AS1	100130522
ENSG00000235138	ENSG00000235138.1		100130548
ENSG00000213963	ENSG00000213963.7		100130691
ENSG00000272899	ENSG00000272899.4	SPMIP1	100130705
ENSG00000186105	ENSG00000186105.8	LRRC70	100130733
ENSG00000214954	ENSG00000214954.9	LRRC69	100130742
ENSG00000185055	ENSG00000185055.11	EFCAB10	100130771
ENSG00000255737	ENSG00000255737.2	AGAP2-AS1	100130776
ENSG00000237243	ENSG00000237243.1	CREB3L2-AS1	100130880
ENSG00000293468	ENSG00000293468.1	ATE1OSP	100130887
ENSG00000279170	ENSG00000279170.3	TSTD3	100130890
ENSG00000214353	ENSG00000214353.8	VAC14-AS1	100130894
ENSG00000261879	ENSG00000261879.9	ZNF594-DT	100130950
ENSG00000205078	ENSG00000205078.6	SYCE1L	100130958
ENSG00000203711	ENSG00000203711.16	LINC02901	100130967
ENSG00000205903	ENSG00000205903.7	ZNF316	100131017
ENSG00000247572	ENSG00000247572.9	CKMT2-AS1	100131067
ENSG00000248508	ENSG00000248508.10	SRP14-DT	100131089
ENSG00000205790	ENSG00000205790.1	DPP9-AS1	100131094
ENSG00000241560	ENSG00000241560.7	ZBTB20-AS1	100131117
ENSG00000215845	ENSG00000215845.11	TSTD1	100131187
ENSG00000228544	ENSG00000228544.1	CCDC183-AS1	100131193
ENSG00000189362	ENSG00000189362.12	NEMP2	100131211
