"chr1"	"start1"	"end1"	"chr2"	"start2"	"end2"	"D"	"logFC"	"logCPM"	"p.value"	"p.adj"
"1"	"chr2"	150000	159999	"chr2"	440000	449999	29	-1.1259	4.7122	"4.6149E-04"	"4.7712E-02"
"2"	"chr2"	180000	189999	"chr2"	720000	729999	54	-1.1361	4.7301	"3.7350E-04"	"4.6041E-02"
"3"	"chr2"	230000	239999	"chr2"	670000	679999	44	-1.0864	5.1177	"1.4925E-04"	"3.4168E-02"
"4"	"chr2"	290000	299999	"chr2"	490000	499999	20	-0.9017	5.6078	"3.7102E-04"	"4.6041E-02"
"5"	"chr2"	400000	409999	"chr2"	430000	439999	3	0.6619	7.5731	"2.0699E-04"	"4.0739E-02"
"6"	"chr2"	760000	769999	"chr2"	850000	859999	9	0.9388	5.7536	"1.3632E-04"	"3.3608E-02"
"7"	"chr2"	830000	839999	"chr2"	860000	869999	3	0.6932	8.0371	"4.9479E-05"	"1.5858E-02"
"8"	"chr2"	830000	839999	"chr2"	930000	939999	10	1.0715	5.0551	"2.2761E-04"	"4.0739E-02"
"9"	"chr2"	840000	849999	"chr2"	860000	869999	2	0.7316	8.8851	"4.0636E-06"	"3.0979E-03"
"10"	"chr2"	840000	849999	"chr2"	930000	939999	9	1.2271	5.3969	"5.7995E-06"	"3.0979E-03"
"11"	"chr2"	850000	859999	"chr2"	860000	869999	1	0.6053	10.7857	"1.0261E-06"	"3.0979E-03"
"12"	"chr2"	850000	859999	"chr2"	910000	919999	6	0.9033	5.6405	"3.2727E-04"	"4.3704E-02"
"13"	"chr2"	850000	859999	"chr2"	930000	939999	8	0.8837	5.7929	"2.7963E-04"	"4.0739E-02"
"14"	"chr2"	860000	869999	"chr2"	890000	899999	3	0.6378	7.74	"2.5954E-04"	"4.0739E-02"
"15"	"chr2"	860000	869999	"chr2"	920000	929999	6	0.8059	6.5419	"1.0754E-04"	"2.8722E-02"
"16"	"chr2"	870000	879999	"chr2"	920000	929999	5	0.7957	6.1489	"3.9883E-04"	"4.6421E-02"
"17"	"chr2"	890000	899999	"chr2"	920000	929999	3	0.8482	6.8126	"2.0406E-05"	"9.3431E-03"
"18"	"chr2"	890000	899999	"chr2"	930000	939999	4	0.9177	6.364	"2.4044E-05"	"9.6326E-03"
"19"	"chr2"	930000	939999	"chr2"	940000	949999	1	0.6117	8.0428	"3.1975E-04"	"4.3704E-02"
