"chr1"	"start1"	"end1"	"chr2"	"start2"	"end2"	"D"	"logFC"	"logCPM"	"p.value"	"p.adj"
"1"	"chr1"	0	9999	"chr1"	20000	29999	2	0.5928	7.953	"8.9880E-04"	"4.6835E-02"
"2"	"chr1"	20000	29999	"chr1"	60000	69999	4	0.7887	6.8882	"2.5557E-04"	"2.1423E-02"
"3"	"chr1"	20000	29999	"chr1"	140000	149999	12	1.0209	5.4779	"1.0661E-03"	"4.9297E-02"
"4"	"chr1"	30000	39999	"chr1"	60000	69999	3	0.6621	7.2455	"9.4793E-04"	"4.8095E-02"
"5"	"chr1"	50000	59999	"chr1"	60000	69999	1	0.7457	9.8422	"1.5887E-06"	"2.8046E-03"
"6"	"chr1"	50000	59999	"chr1"	310000	319999	26	-2.284	3.7213	"8.2325E-04"	"4.4090E-02"
"7"	"chr1"	60000	69999	"chr1"	100000	109999	4	0.7439	7.0541	"3.5826E-04"	"2.6566E-02"
"8"	"chr1"	70000	79999	"chr1"	80000	89999	1	-1.4126	4.7812	"4.8166E-04"	"3.4394E-02"
"9"	"chr1"	170000	179999	"chr1"	310000	319999	14	-0.9921	6.5275	"2.2394E-05"	"8.6349E-03"
"10"	"chr1"	180000	189999	"chr1"	460000	469999	28	-1.2579	5.3156	"1.5919E-04"	"2.0195E-02"
"11"	"chr1"	190000	199999	"chr1"	390000	399999	20	-0.7431	7.2052	"2.4020E-04"	"2.1423E-02"
"12"	"chr1"	310000	319999	"chr1"	370000	379999	6	-0.6179	7.9312	"5.5949E-04"	"3.5942E-02"
"13"	"chr1"	310000	319999	"chr1"	390000	399999	8	-0.6884	7.9567	"1.1928E-04"	"1.7690E-02"
"14"	"chr1"	310000	319999	"chr1"	470000	479999	16	-0.9592	5.6709	"1.0739E-03"	"4.9297E-02"
"15"	"chr1"	420000	429999	"chr1"	450000	459999	3	0.5896	8.3284	"5.7791E-04"	"3.5942E-02"
"16"	"chr1"	430000	439999	"chr1"	500000	509999	7	0.6363	7.4078	"1.0434E-03"	"4.9297E-02"
"17"	"chr1"	440000	449999	"chr1"	520000	529999	8	0.8311	6.3321	"6.5576E-04"	"3.7185E-02"
"18"	"chr1"	440000	449999	"chr1"	560000	569999	12	1.0385	5.54	"6.9675E-04"	"3.8381E-02"
"19"	"chr1"	450000	459999	"chr1"	480000	489999	3	0.6766	8.0323	"1.3720E-04"	"1.8895E-02"
"20"	"chr1"	450000	459999	"chr1"	490000	499999	4	0.6696	7.6328	"3.2700E-04"	"2.5218E-02"
"21"	"chr1"	450000	459999	"chr1"	500000	509999	5	0.8144	7.1533	"7.1162E-05"	"1.3720E-02"
"22"	"chr1"	450000	459999	"chr1"	510000	519999	6	0.9415	7.0112	"8.8541E-06"	"5.6804E-03"
"23"	"chr1"	450000	459999	"chr1"	520000	529999	7	0.8239	6.4247	"5.4299E-04"	"3.5942E-02"
"24"	"chr1"	550000	559999	"chr1"	570000	579999	2	0.5943	9.3833	"2.0572E-04"	"2.1423E-02"
"25"	"chr1"	550000	559999	"chr1"	610000	619999	6	0.6751	7.6911	"2.5130E-04"	"2.1423E-02"
"26"	"chr1"	550000	559999	"chr1"	620000	629999	7	1.0061	5.7118	"5.3831E-04"	"3.5942E-02"
"27"	"chr1"	570000	579999	"chr1"	590000	599999	2	0.6033	8.5618	"3.1769E-04"	"2.5218E-02"
"28"	"chr1"	570000	579999	"chr1"	620000	629999	5	1.0253	5.6084	"6.2663E-04"	"3.6610E-02"
"29"	"chr1"	570000	579999	"chr1"	630000	639999	6	1.1709	6.0475	"1.1785E-05"	"5.6804E-03"
"30"	"chr1"	590000	599999	"chr1"	630000	639999	4	0.8469	6.85	"1.0123E-04"	"1.7514E-02"
